,loc,,,,,,,,,,,,,,,,,,,sp,no,,,spz,%FILARIA,IR_character,IR,,,allele,,,
COUNTRY,,LAT,LONG,TIME PERIOD OF STUDY,YEAR START,YEAR END,COLLECTION METHOD,METHOD OF SAMPLING COLLECTION,"SAMPLING METHOD_IR (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_PSC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ETC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_HLC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ORC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_LC (0- No, 1- Yes, 2- In combination, 9- Unknown)",STAGE OF COLLECTION,"COLLECTION STAGE (1- AC,2- LC,3- AC+LC, 4- LC+PC, 9-Unknown)",MORPHOLOGICAL IDENTIFICATION METHOD,MOLECULAR IDENTIFICATION METHOD,ID METHOD,,,S form,M form, ,,,,,KDR allele,,Comment,AUTHOR,REFERENCE
NIGERIA,Jega,12.22,4.38,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,29,,,,,Resistant,1,BHC,,,From the gamma BHC sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Aliero,12.29,4.47,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,43,,,,,Resistant,1,BHC,,,From the gamma BHC sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Argungu ,12.74,4.53,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,42,,,,,Resistant,1,BHC,,,From the extension zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. gambiae s.l,477.5,,,5.35,,,,,,,Average Anopheline densities given,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. funestus complex,869.5,,,5.35,,,,,,,Average Anopheline densities given,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. nili,31.2,,,0,,,,,,,Average Anopheline densities given,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Entrance Door traps,Entrance Door traps,0,0,0,0,0,0,AC,1,,,,An. gambiae s.l,48,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Entrance Door traps,Entrance Door traps,0,0,0,0,0,0,AC,1,,,,An. funestus complex,43,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Entrance Door traps,Entrance Door traps,0,0,0,0,0,0,AC,1,,,,An. nili,38,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Exit door traps,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,422,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Exit door traps,ETC,0,0,1,0,0,0,AC,1,,,,An. funestus complex,325,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,Exit door traps,ETC,0,0,1,0,0,0,AC,1,,,,An. nili,213,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. gambiae s.l,846,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. funestus complex,448,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. nili,713,,,,,,,,,,,Hanney 1960,[66]
NIGERIA,Kaduna area,10.52,7.44,June 1957 - Dec 1958,1957,1958,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. wellcomei,191,,,0,,,,,,,,Hanney 1960,[66]
NIGERIA,Natsini,12.14,4.77,Aug 1958 - Oct 1959,1958,1959,Exit Window traps,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,14278,,,,,,,,,,Indoor spaying with DDT,"Kuhlow, 1962",[79]
NIGERIA,Natsini,12.14,4.77,Aug 1958 - Oct 1959,1958,1959,Exit Window traps,ETC,0,0,1,0,0,0,AC,1,,,,An. funestus complex ,322,,,,,,,,,,Indoor spaying with DDT,"Kuhlow, 1962",[79]
NIGERIA,Natsini,12.14,4.77,Aug 1958 - Oct 1959,1958,1959,SC,SC,0,0,0,0,0,0,AC,1,,,,An. gambiae s.l,2793,,,,,,,,,,Indoor spaying with DDT,"Kuhlow, 1962",[79]
NIGERIA,Natsini,12.14,4.77,Aug 1958 - Oct 1959,1958,1959,SC,SC,0,0,0,0,0,0,AC,1,,,,An. funestus complex ,986,,,,,,,,,,Indoor spaying with DDT,"Kuhlow, 1962",[79]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. gambiae s.l,14391,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. nili,2586,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. funestus complex,705,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. wellcomei,32,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,Bait-net catches,Bait-net catches,0,0,0,0,0,0,AC,1,,,,An. gambiae s.l,650,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,Bait-net catches,Bait-net catches,0,0,0,0,0,0,AC,1,,,,An. nili,315,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,Bait-net catches,Bait-net catches,0,0,0,0,0,0,AC,1,,,,An. funestus complex,335,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. gambiae s.l,1613,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. nili,891,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,HLC,HLC,0,0,0,1,0,0,AC,1,,,,An. funestus complex,390,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kaduna,10.52,7.44,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. gambiae s.l,19853,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kaduna,10.52,7.44,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. funestus complex,12941,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kaduna,10.52,7.44,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. nili,559,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. gambiae s.l,1410,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. funestus complex,407,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. gambiae s.l,162,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kangimi,10.73,7.6,1960 -1962,1960,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. funestus complex,376,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Entrance Door and window traps (ETC),Entrance Door trap + ETC,0,0,2,0,0,0,AC,1,,,,An. gambiae s.l,72,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Entrance Door and window traps (ETC),Entrance Door trap + ETC,0,0,2,0,0,0,AC,1,,,,An. funestus complex,41,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Entrance Door and window traps (ETC),Entrance Door trap + ETC,0,0,2,0,0,0,AC,1,,,,An. nili,31,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Door and window exit traps,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,65,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Door and window exit traps,ETC,0,0,1,0,0,0,AC,1,,,,An. funestus complex,22,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,1960 -1962,1960,1962,Door and window exit traps,ETC,0,0,1,0,0,0,AC,1,,,,An. nili,91,,,,,,,,,,Numbers here are the numbers of females used for precipitin test,"Service, 1963",[139]
NIGERIA,Kaduna area (Anguwan Rimi and Kangimi),10.52,7.44,1960 -1962,1960,1962,ORC,ORC,0,0,0,0,1,0,AC,1,,,,An. gambiae s.l,2316,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Kaduna area (Anguwan Rimi and Kangimi),10.52,7.44,1960 -1962,1960,1962,ORC,ORC,0,0,0,0,1,0,AC,1,,,,An. funestus complex,1619,,,,,,,,,,,"Service, 1963",[139]
NIGERIA,Lagos,6.45,3.4,"March, 1960",1960,1960,"PSC, window traps",PSC + ETC,0,2,2,0,0,0,AC,1,,,,An. gambiae s.l,,,,,,,,,,,,"Elliot & Barnes, 1963",[140]
NIGERIA,Sokoto,13.05,5.21,1961 - 1962,1961,1962,Standard bed net traps,Standard bed net traps,0,0,0,0,0,0,AC,1,,,,An. gambiae s.l,138,,,,,,,,,,,Dodge 1965,[63]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,May - Oct 1961,1961,1961,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,1597,,,,,,,,,,,"Molineaux et al., 1976",[92]
NIGERIA,"Anguwun Rimi, Kaduna area",10.52,7.44,May - Oct 1961,1961,1961,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,1509,,,,,,,,,,Hut sprayed with DDT,Service 1964b,[80]
NIGERIA,Kano,12,8.52,1961,1961,1961,LC,LC,0,0,0,0,0,1,LC,2,,,,An. gambiae s.l,174,,,,,,,,,,,Service 1971,[141]
